,year_month,volume,product,uf,unit,create_at
22,2019-03,2457153.744,ÓLEO DIESEL S-10,AC,m3,2022-05-17
23,2020-03,2285100.13,ÓLEO DIESEL S-10,AC,m3,2022-05-17
24,2013-04,2038654.144,ÓLEO DIESEL S-10,AC,m3,2022-05-17
25,2014-04,3568808.51,ÓLEO DIESEL S-10,AC,m3,2022-05-17
26,2015-04,3241286.132,ÓLEO DIESEL S-10,AC,m3,2022-05-17
27,2016-04,3033967.613,ÓLEO DIESEL S-10,AC,m3,2022-05-17
28,2017-04,2597477.484,ÓLEO DIESEL S-10,AC,m3,2022-05-17
29,2018-04,2778495.629,ÓLEO DIESEL S-10,AC,m3,2022-05-17
30,2019-04,2467604.687,ÓLEO DIESEL S-10,AC,m3,2022-05-17
31,2020-04,1957534.126,ÓLEO DIESEL S-10,AC,m3,2022-05-17
32,2013-05,2012037.117,ÓLEO DIESEL S-10,AC,m3,2022-05-17
33,2014-05,3712485.973,ÓLEO DIESEL S-10,AC,m3,2022-05-17
34,2015-05,3153433.337,ÓLEO DIESEL S-10,AC,m3,2022-05-17
35,2016-05,2930039.317,ÓLEO DIESEL S-10,AC,m3,2022-05-17
36,2017-05,2872137.254,ÓLEO DIESEL S-10,AC,m3,2022-05-17
37,2018-05,2228731.019,ÓLEO DIESEL S-10,AC,m3,2022-05-17
38,2019-05,2505939.317,ÓLEO DIESEL S-10,AC,m3,2022-05-17
39,2020-05,2092520.92,ÓLEO DIESEL S-10,AC,m3,2022-05-17
40,2013-06,1852536.451,ÓLEO DIESEL S-10,AC,m3,2022-05-17
41,2014-06,3392620.684,ÓLEO DIESEL S-10,AC,m3,2022-05-17
42,2015-06,3314345.498,ÓLEO DIESEL S-10,AC,m3,2022-05-17
43,2016-06,3012151.642,ÓLEO DIESEL S-10,AC,m3,2022-05-17
44,2017-06,2920146.728,ÓLEO DIESEL S-10,AC,m3,2022-05-17
45,2018-06,3016043.276,ÓLEO DIESEL S-10,AC,m3,2022-05-17
46,2019-06,2441436.605,ÓLEO DIESEL S-10,AC,m3,2022-05-17
47,2020-06,2201908.611,ÓLEO DIESEL S-10,AC,m3,2022-05-17
48,2013-07,2213793.35,ÓLEO DIESEL S-10,AC,m3,2022-05-17
49,2014-07,3723661.508,ÓLEO DIESEL S-10,AC,m3,2022-05-17
50,2015-07,3378741.856,ÓLEO DIESEL S-10,AC,m3,2022-05-17
51,2016-07,3071911.53,ÓLEO DIESEL S-10,AC,m3,2022-05-17
52,2017-07,3017275.343,ÓLEO DIESEL S-10,AC,m3,2022-05-17
53,2018-07,2986121.758,ÓLEO DIESEL S-10,AC,m3,2022-05-17
54,2019-07,2675174.079,ÓLEO DIESEL S-10,AC,m3,2022-05-17
55,2020-07,2409955.275,ÓLEO DIESEL S-10,AC,m3,2022-05-17
56,2013-08,2350211.402,ÓLEO DIESEL S-10,AC,m3,2022-05-17
57,2014-08,3857491.592,ÓLEO DIESEL S-10,AC,m3,2022-05-17
58,2015-08,3414317.453,ÓLEO DIESEL S-10,AC,m3,2022-05-17
59,2016-08,3166183.72,ÓLEO DIESEL S-10,AC,m3,2022-05-17
60,2017-08,3086734.028,ÓLEO DIESEL S-10,AC,m3,2022-05-17
61,2018-08,3086807.023,ÓLEO DIESEL S-10,AC,m3,2022-05-17
62,2019-08,2697685.08,ÓLEO DIESEL S-10,AC,m3,2022-05-17
63,2020-08,2357212.128,ÓLEO DIESEL S-10,AC,m3,2022-05-17
64,2013-09,2147259.738,ÓLEO DIESEL S-10,AC,m3,2022-05-17
65,2014-09,3801000.711,ÓLEO DIESEL S-10,AC,m3,2022-05-17
66,2015-09,3329939.343,ÓLEO DIESEL S-10,AC,m3,2022-05-17
67,2016-09,3074929.77,ÓLEO DIESEL S-10,AC,m3,2022-05-17
68,2017-09,2999961.618,ÓLEO DIESEL S-10,AC,m3,2022-05-17
69,2018-09,2833173.833,ÓLEO DIESEL S-10,AC,m3,2022-05-17
70,2019-09,2455470.06,ÓLEO DIESEL S-10,AC,m3,2022-05-17
71,2020-09,2366150.662,ÓLEO DIESEL S-10,AC,m3,2022-05-17
72,2013-10,2317947.483,ÓLEO DIESEL S-10,AC,m3,2022-05-17
73,2014-10,4068957.342,ÓLEO DIESEL S-10,AC,m3,2022-05-17
74,2015-10,3500701.149,ÓLEO DIESEL S-10,AC,m3,2022-05-17
75,2016-10,2956242.033,ÓLEO DIESEL S-10,AC,m3,2022-05-17
76,2017-10,3041324.557,ÓLEO DIESEL S-10,AC,m3,2022-05-17
77,2018-10,2960027.017,ÓLEO DIESEL S-10,AC,m3,2022-05-17
78,2019-10,2697564.232,ÓLEO DIESEL S-10,AC,m3,2022-05-17
79,2013-11,2140839.687,ÓLEO DIESEL S-10,AC,m3,2022-05-17
80,2014-11,3439879.126,ÓLEO DIESEL S-10,AC,m3,2022-05-17
81,2015-11,3029832.264,ÓLEO DIESEL S-10,AC,m3,2022-05-17
82,2016-11,2772079.529,ÓLEO DIESEL S-10,AC,m3,2022-05-17
83,2017-11,2840438.131,ÓLEO DIESEL S-10,AC,m3,2022-05-17
84,2018-11,2698762.839,ÓLEO DIESEL S-10,AC,m3,2022-05-17
85,2019-11,2325085.774,ÓLEO DIESEL S-10,AC,m3,2022-05-17
86,2013-12,1884380.803,ÓLEO DIESEL S-10,AC,m3,2022-05-17
87,2014-12,3213581.684,ÓLEO DIESEL S-10,AC,m3,2022-05-17
88,2015-12,2933202.833,ÓLEO DIESEL S-10,AC,m3,2022-05-17
89,2016-12,2554350.043,ÓLEO DIESEL S-10,AC,m3,2022-05-17
90,2017-12,2488981.448,ÓLEO DIESEL S-10,AC,m3,2022-05-17
91,2018-12,2388265.108,ÓLEO DIESEL S-10,AC,m3,2022-05-17
92,2019-12,1963016.671,ÓLEO DIESEL S-10,AC,m3,2022-05-17
0,2013-01,1924216.093,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
1,2014-01,3344338.075,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
2,2015-01,3242226.463,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
3,2016-01,2578244.912,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
4,2017-01,2447012.071,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
5,2018-01,2446424.886,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
6,2019-01,2366766.661,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
7,2020-01,2066964.544,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
8,2013-02,1793893.378,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
9,2014-02,3452817.055,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
10,2015-02,2789923.454,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
11,2016-02,2836593.653,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
12,2017-02,2554123.186,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
13,2018-02,2505898.416,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
14,2019-02,2359969.529,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
15,2020-02,2137312.017,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
16,2013-03,1952134.707,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
17,2014-03,3554515.781,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
18,2015-03,3485400.08,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
19,2016-03,3153373.144,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
20,2017-03,3103093.593,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
21,2018-03,2932103.114,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
22,2019-03,2457153.744,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
23,2020-03,2285100.13,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
24,2013-04,2038654.144,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
25,2014-04,3568808.51,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
26,2015-04,3241286.132,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
27,2016-04,3033967.613,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
28,2017-04,2597477.484,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
29,2018-04,2778495.629,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
30,2019-04,2467604.687,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
31,2020-04,1957534.126,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
32,2013-05,2012037.117,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
33,2014-05,3712485.973,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
34,2015-05,3153433.337,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
35,2016-05,2930039.317,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
36,2017-05,2872137.254,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
37,2018-05,2228731.019,ÓLEO DIESEL S-1800,AC,m3,2022-05-17
